Penyakit,Pencegahan_1,Pencegahan_2,Pencegahan_3,Pencegahan_4
Reaksi Obat,hentikan iritasi,konsultasikan ke rumah sakit terdekat,hentikan penggunaan obat,tindak lanjuti
Malaria,Konsultasikan ke rumah sakit terdekat,hindari makanan berminyak,hindari makanan non-sayuran ,mengusir nyamuk
Alergi,oleskan kalamin,tutupi area tersebut dengan perban,,gunakan es untuk mengompres rasa gatal
Hipotiroidisme,mengurangi stres,latihan,makan yang sehat,mendapatkan tidur yang cukup
Psoriasis,cuci tangan dengan air sabun hangat,hentikan pendarahan menggunakan tekanan,berkonsultasi dengan dokter,mandi garam
GERD,hindari makanan pedas berlemak,hindari berbaring setelah makan,maintain healthy weight,latihan
Chronic cholestasis,mandi air dingin,obat anti gatal,berkonsultasi dengan dokter,makan yang sehat
hepatitis A,Konsultasikan ke rumah sakit terdekat,cuci tangan,hindari makanan pedas berlemak,pengobatan
Osteoartristis,parasetamol,konsultasikan ke rumah sakit terdekat,tindak lanjuti,mandi garam
Vertigo Posisional Paroksismal,berbaring,menghindari perubahan mendadak pada tubuh,hindari gerakan kepala yang tiba-tiba,rileks
Hipoglikemia,berbaring miring,cek detak,minum minuman manis,berkonsultasi dengan dokter
Jerawat,mandi dua kali,hindari makanan pedas berlemak,minum banyak air,hindari terlalu banyak produk
Diabetes,memiliki pola makan seimbang,latihan,berkonsultasi dengan dokter,tindak lanjuti
Impetigo,rendam area yang terkena dalam air hangat,menggunakan antibiotik,hilangkan keropeng dengan kain kompres basah,berkonsultasi dengan dokter
Hipertensi,meditasi,mandi garam,mengurangi stres,mendapatkan tidur yang cukup
Penyakit Tukak Lambung,hindari makanan pedas berlemak,mengonsumsi makanan probiotik,eliminate milk,batasi alkohol
Hemoroid Dimorfik (Ambeien),hindari makanan pedas berlemak,konsumsi witch hazel,mandi air hangat dengan garam epsom,konsumsi jus lidah buaya
Flu Biasa,minum minuman kaya vitamin c,mengambil uap,hindari makanan dingin,mengendalikan demam
Cacar Air,gunakan Mimba saat mandi ,mengkonsumsi daun Mimba,mengambil vaksin,hindari tempat publik
Spondilosis Serviks,gunakan bantal pemanas atau kompres dingin,latihan,minum obat pereda nyeri lainnya,berkonsultasi dengan dokter
Hipertiroidisme,makan yang sehat,pijat,gunakan lemon balm,menjalani pengobatan yodium radioaktif
Infeksi saluran kemih,minum banyak air,meningkatkan asupan vitamin c,minum jus cranberry,mengonsumsi probiotik
Varises,berbaring telentang dan angkat kaki tinggi-tinggi,menggunakan salep,menggunakan kompresi vena,jangan diam lama-lama
AIDS,hindari pemotongan terbuka,pakailah PPE jika memungkinkan,berkonsultasi dengan dokter,tindak lanjuti
Kelumpuhan (perdarahan otak),pijat,makan yang sehat,latihan,berkonsultasi dengan dokter
Tifoid,makan sayuran berkalori tinggi,terapi antibiotik,berkonsultasi dengan dokter,pengobatan
Hepatitis B,konsultasikan ke rumah sakit terdekat,vaksinasi,makan yang sehat,pengobatan
Infeksi Jamur,mandi dua kali,gunakan detol atau Mimba pada air mandi,jaga agar area yang terinfeksi tetap kering,gunakan kain bersih
Hepatitis C,Konsultasikan ke rumah sakit terdekat,vaksinasi,makan yang sehat,pengobatan
Migrain,meditasi,mengurangi stres,gunakan kacamata poloroid di bawah sinar matahari,berkonsultasi dengan dokter
Asma Bronkial,beralih ke pakaian longgar,tarik napas dalam-dalam,menjauh dari pemicu,mencari pertolongan
Hepatitis Alkoholik,menghentikan konsumsi alkohol,berkonsultasi dengan dokter,pengobatan,tindak lanjuti
Jaundice (penyakit kuning),minum banyak air,mengkonsumsi milk thistle,makan buah-buahan dan makanan berserat tinggi,pengobatan
Hepatitis E,menghentikan konsumsi alkohol,istirahat,berkonsultasi dengan dokter,pengobatan
Demam Berdarah,minum jus daun pepaya,hindari makanan pedas berlemak,keep mosquitos away,tetap terhidrasi
Hepatitis D,berkonsultasi dengan dokter,pengobatan,makan yang sehat,tindak lanjuti
Serangan Jantung,panggil ambulans,mengunyah atau menelan aspirin,tetap tenang,
Pneumonia,berkonsultasi dengan dokter,pengobatan,istirahat,tindak lanjuti
Artritis,latihan,gunakan terapi panas dan dingin,coba akupuntur,pijat
Gastroenteritis,berhenti makan makanan padat untuk sementara waktu,cobalah minum sedikit air,istirahat,kembali makan
Tuberkulosis,menutupi mulut,berkonsultasi dengan dokter,pengobatan,istirahat
